#,Fecha del siniestro,Entidad Federativa,Municipio,Grupo de siniestro,Tipo de siniestro
8956,14-06-2023,Sinaloa,Culiacán ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8957,15-06-2023,Chihuahua,Chihuahua ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8958,15-06-2023,Jalisco,Lagos De Moreno ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8959,15-06-2023,Chihuahua,Jiménez ,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
8960,15-06-2023,Sonora,Puerto Peñasco ,"Grupo III. Muerte, lesión y otros",Cadáver sobre la vía/en Derecho de Vía
8961,16-06-2023,Colima,Manzanillo ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8962,16-06-2023,Nuevo León,Cadereyta Jiménez ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8963,17-06-2023,Sinaloa,Ahome ,"Grupo III. Muerte, lesión y otros",Persona Arrollada
8964,18-06-2023,Guanajuato,Irapuato ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8965,18-06-2023,Nuevo León,Hidalgo ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8966,18-06-2023,Coahuila de Zaragoza,Escobedo ,"Grupo III. Muerte, lesión y otros",Cadáver sobre la vía/en Derecho de Vía
8967,19-06-2023,Guanajuato,Villagrán ,"Grupo III. Muerte, lesión y otros",Persona Arrollada
8968,19-06-2023,Sinaloa,Mazatlán ,"Grupo III. Muerte, lesión y otros",Cadáver sobre la vía/en Derecho de Vía
8969,20-06-2023,Sonora,Empalme ,"Grupo III. Muerte, lesión y otros",Cadáver sobre la vía/en Derecho de Vía
8970,21-06-2023,Jalisco,Tequila ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8971,22-06-2023,Guanajuato,Irapuato ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8972,22-06-2023,Guanajuato,Irapuato ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8973,22-06-2023,Sinaloa,Rosario ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8974,22-06-2023,Durango,Gómez Palacio ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8975,22-06-2023,Sonora,Guaymas ,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
8976,24-06-2023,Durango,Lerdo ,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
8977,25-06-2023,Jalisco,Guadalajara ,"Grupo III. Muerte, lesión y otros",Persona Arrollada
8978,26-06-2023,Chihuahua,Juárez ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8979,26-06-2023,Durango,Gómez Palacio ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8980,26-06-2023,Jalisco,San Pedro Tlaquepaque ,"Grupo III. Muerte, lesión y otros",Cadáver sobre la vía/en Derecho de Vía
8981,27-06-2023,Jalisco,Zapopan ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8982,28-06-2023,Sinaloa,Huatabampo ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8983,28-06-2023,Coahuila de Zaragoza,Francisco I. Madero ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8984,29-06-2023,Jalisco,El Arenal ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8985,29-06-2023,Sinaloa,Angostura ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8986,29-06-2023,Coahuila de Zaragoza,Sabinas ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8987,30-06-2023,Querétaro,Querétaro ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8988,01-06-2023,Coahuila de Zaragoza,Saltillo,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
8989,01-06-2023,San Luis Potosí,San Luis Potosí,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8990,02-06-2023,México,Cuautitlán,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8991,02-06-2023,Tamaulipas,Matamoros,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8992,02-06-2023,Nuevo León,Lampazos De Naranjo,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8993,03-06-2023,Guanajuato,San Luis De La Paz,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8994,03-06-2023,Tamaulipas,Gustavo Díaz Ordaz,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8995,06-06-2023,Nuevo León,San Nicolás De Los Garza,"Grupo III. Muerte, lesión y otros",Cadáver sobre la vía/en Derecho de Vía
8996,06-06-2023,Tamaulipas,Río Bravo,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8997,06-06-2023,Querétaro,San Juan Del Río,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8998,08-06-2023,México,Toluca,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8999,08-06-2023,México,Toluca,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9000,08-06-2023,Nuevo León,San Nicolás De Los Garza,"Grupo III. Muerte, lesión y otros",Persona Arrollada
9001,09-06-2023,Tamaulipas,Reynosa,"Grupo III. Muerte, lesión y otros",Persona Arrollada
9002,09-06-2023,México,Lerma,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9003,10-06-2023,San Luis Potosí,Villa De Reyes,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9004,10-06-2023,Nuevo León,Lampazos De Naranjo,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9005,10-06-2023,México,Huehuetoca,"Grupo III. Muerte, lesión y otros",Persona Arrollada
9006,12-06-2023,Coahuila de Zaragoza,Saltillo,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9007,14-06-2023,Michoacán de Ocampo,Gabriel Zamora,"Grupo III. Muerte, lesión y otros",Persona Arrollada
9008,15-06-2023,Nuevo León,García,"Grupo III. Muerte, lesión y otros",Cadáver sobre la vía/en Derecho de Vía
9009,15-06-2023,Coahuila de Zaragoza,Saltillo,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9010,15-06-2023,San Luis Potosí,San Luis Potosí,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
9011,18-06-2023,Tamaulipas,Tampico,"Grupo III. Muerte, lesión y otros",Persona Arrollada
9012,19-06-2023,Nuevo León,Anáhuac,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9013,19-06-2023,Guanajuato,Salvatierra,"Grupo III. Muerte, lesión y otros",Persona Arrollada
9014,20-06-2023,Nuevo León,Monterrey,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9015,20-06-2023,Nuevo León,García,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9016,21-06-2023,Tamaulipas,Río Bravo,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9017,21-06-2023,Michoacán de Ocampo,La Huacana,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9018,23-06-2023,Nuevo León,García,"Grupo III. Muerte, lesión y otros",Persona Arrollada
9019,24-06-2023,San Luis Potosí,San Luis Potosí,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9020,24-06-2023,Querétaro,San Juan Del Río,"Grupo III. Muerte, lesión y otros",Cadáver sobre la vía/en Derecho de Vía
9021,26-06-2023,Nuevo León,General Escobedo,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9022,27-06-2023,San Luis Potosí,Villa Juárez,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9023,28-06-2023,Nuevo León,García,"Grupo III. Muerte, lesión y otros",Persona Arrollada
9024,28-06-2023,Coahuila de Zaragoza,Saltillo,"Grupo III. Muerte, lesión y otros",Persona Arrollada
9025,30-06-2023,Guanajuato,Celaya,"Grupo III. Muerte, lesión y otros",Persona Arrollada
