#,Fecha del siniestro,Entidad Federativa,Municipio,Grupo de siniestro,Tipo de siniestro
8688,29-03-2023,San Luis Potosí,Cerritos,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8689,29-03-2023,México,Toluca,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8690,31-03-2023,Nuevo León,Salinas Victoria,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8691,24-04-2023,Baja California,Tijuana,"GRUPO II. Equipo ferroviario, infraestructura y operación",Afectación al paso de trenes por cables de CFE.
8692,02-04-2023,México,Tlalnepantla,"Grupo III. Muerte, lesión y otros",Persona Arrollada
8693,26-04-2023,Oaxaca,El Barrio De La Soledad,"GRUPO II. Equipo ferroviario, infraestructura y operación",Choque
8694,12-04-2023,Tlaxcala,Chiautempan ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8695,13-04-2023,Hidalgo,Mineral De La Reforma ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8696,17-04-2023,Tlaxcala,Huamantla ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8697,24-04-2023,Puebla,Tepanco De Lopez,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
